# Time (s)	Wavelength (nm)	Power (W)	Std_dev_power (W)
1682603203.0633671	200	2.4427999999999996e-07	4.0000000000003e-11
1682603224.0973015	210	2.669e-07	0.0
1682603245.1327696	220	2.435e-07	0.0
1682603266.168864	230	2.0126e-07	4.898979485566724e-11
1682603287.2028673	240	1.699e-07	0.0
1682603308.2391362	250	1.573e-07	0.0
1682603329.2735085	260	1.489e-07	0.0
1682603350.3051913	270	1.522e-07	0.0
1682603371.337967	280	1.43e-07	0.0
1682603392.3741288	290	1.3340000000000002e-07	2.6469779601696886e-23
1682603413.4087539	300	1.2299999999999998e-07	2.6469779601696886e-23
1682603434.4411259	310	1.2270000000000003e-07	2.6469779601696886e-23
1682603455.4773045	320	1.261e-07	0.0
1682603476.509828	330	1.296e-07	0.0
1682603497.544998	340	1.32e-07	0.0
1682603518.5840514	350	1.33e-07	0.0
1682603539.6138601	360	1.402e-07	0.0
1682603560.647795	370	1.3900000000000001e-07	2.6469779601696886e-23
1682603581.6832142	380	1.262e-07	0.0
1682603602.7137835	390	1.155e-07	0.0
1682603623.7509153	400	1.066e-07	0.0
1682603644.7845378	410	9.92e-08	0.0
1682603665.817948	420	9.32e-08	0.0
1682603686.8495297	430	8.829999999999999e-08	1.3234889800848443e-23
1682603707.8830845	440	8.34e-08	0.0
1682603728.9172258	450	7.89e-08	0.0
1682603749.9529154	460	7.520000000000001e-08	1.3234889800848443e-23
1682603770.985844	470	7.21e-08	0.0
1682603792.0128448	480	6.830000000000001e-08	1.3234889800848443e-23
1682603813.0468712	490	6.522000000000001e-08	3.999999999999771e-11
1682603834.0806646	500	6.250000000000001e-08	1.3234889800848443e-23
1682603855.1148546	510	5.990000000000001e-08	1.3234889800848443e-23
1682603876.1477947	520	5.76e-08	0.0
1682603897.179653	530	5.54e-08	0.0
1682603918.2139533	540	5.34e-08	0.0
1682603939.2477336	550	5.16e-08	0.0
1682603960.2767413	560	4.98e-08	0.0
1682603981.3099492	570	4.830000000000001e-08	6.617444900424222e-24
1682604002.3463652	580	4.680000000000001e-08	6.617444900424222e-24
1682604023.379659	590	4.549999999999999e-08	6.617444900424222e-24
1682604044.415047	600	4.42e-08	0.0
1682604065.4498854	610	4.3e-08	0.0
1682604086.4839149	620	4.21e-08	0.0
1682604107.5138526	630	4.1e-08	0.0
1682604128.5474215	640	4.02e-08	0.0
1682604149.5742943	650	3.93e-08	0.0
1682604170.6088512	660	3.8400000000000006e-08	6.617444900424222e-24
1682604191.6436236	670	3.7600000000000006e-08	6.617444900424222e-24
1682604212.6781166	680	3.700000000000001e-08	6.617444900424222e-24
1682604233.710907	690	3.6299999999999994e-08	6.617444900424222e-24
1682604254.7453682	700	3.5699999999999995e-08	6.617444900424222e-24
1682604275.7781343	710	3.511e-08	2.999999999999829e-11
1682604296.8129034	720	3.45e-08	0.0
1682604317.8482707	730	3.410000000000001e-08	6.617444900424222e-24
1682604338.8767893	740	3.3499999999999996e-08	6.617444900424222e-24
1682604359.9109738	750	3.32e-08	0.0
1682604380.9431021	760	3.280000000000001e-08	6.617444900424222e-24
1682604401.9774423	770	3.24e-08	0.0
1682604423.0125842	780	3.2099999999999996e-08	6.617444900424222e-24
1682604444.0487442	790	3.17e-08	0.0
1682604465.0835204	800	3.140000000000001e-08	6.617444900424222e-24
1682604486.1173055	810	3.12e-08	0.0
1682604507.14912	820	3.09e-08	0.0
1682604528.1777668	830	3.069999999999999e-08	6.617444900424222e-24
1682604549.2094204	840	3.05e-08	0.0
1682604570.2428203	850	3.03e-08	0.0
1682604591.2713428	860	3.02e-08	0.0
1682604612.3019404	870	3.02e-08	0.0
1682604633.3361511	880	2.999999999999999e-08	6.617444900424222e-24
1682604654.3720405	890	2.999999999999999e-08	6.617444900424222e-24
1682604675.4076552	900	2.999999999999999e-08	6.617444900424222e-24
1682604696.4387255	910	2.999999999999999e-08	6.617444900424222e-24
1682604717.4738696	920	3.018e-08	4.000000000000035e-11
1682604738.5077972	930	3.029e-08	3.000000000000027e-11
1682604759.5418372	940	3.057000000000001e-08	4.582575694955881e-11
1682604780.570865	950	3.1e-08	0.0
1682604801.6013687	960	3.130000000000001e-08	6.617444900424222e-24
1682604822.6338599	970	3.199000000000001e-08	3.000000000000027e-11
1682604843.66468	980	3.280000000000001e-08	6.617444900424222e-24
1682604864.693341	990	3.3809999999999996e-08	3.000000000000027e-11
1682604885.7262511	1000	3.4899999999999995e-08	6.617444900424222e-24
1682604906.7587967	1010	3.61e-08	0.0
1682604927.7939994	1020	3.762999999999999e-08	4.582575694955881e-11
1682604948.8258107	1030	3.959e-08	2.999999999999829e-11
1682604969.8531938	1040	4.199999999999999e-08	6.617444900424222e-24
1682604990.8888307	1050	4.5430000000000004e-08	6.403124237432617e-11
1682605011.9167416	1060	5.017e-08	6.403124237432906e-11
1682605032.947024	1070	5.504000000000001e-08	7.999999999999775e-11
1682605053.9817126	1080	6.027e-08	7.810249675906733e-11
1682605075.0149696	1090	6.641000000000001e-08	8.306623862918364e-11
1682605096.0434525	1100	7.392e-08	1.2489995996796547e-10
