# Time (s)	Wavelength (nm)	Power (W)	Std_dev_power (W)
1682606731.311397	200	6e-07	0.0
1682606752.347803	210	6e-07	0.0
1682606773.3819366	220	2.899999999999999e-07	5.293955920339377e-23
1682606794.4164732	230	2.1000000000000003e-07	2.6469779601696886e-23
1682606815.4504316	240	1.9100000000000003e-07	2.999999999999995e-09
1682606836.4794672	250	1.8e-07	0.0
1682606857.5158498	260	1.6e-07	0.0
1682606878.5445497	270	1.8e-07	0.0
1682606899.578747	280	1.6e-07	0.0
1682606920.6162107	290	1.5e-07	0.0
1682606941.6518009	300	1.3999999999999998e-07	2.6469779601696886e-23
1682606962.684759	310	1.3e-07	0.0
1682606983.7180228	320	1.3e-07	0.0
1682607004.7510917	330	1.3e-07	0.0
1682607025.7795663	340	1.28e-07	4.000000000000004e-09
1682607046.8146813	350	1.1999999999999996e-07	2.6469779601696886e-23
1682607067.8495998	360	1.1999999999999996e-07	2.6469779601696886e-23
1682607088.8847592	370	1.1899999999999998e-07	2.999999999999995e-09
1682607109.919676	380	1.1e-07	0.0
1682607130.947387	390	1.1e-07	0.0
1682607151.9788427	400	1e-07	0.0
1682607173.0139134	410	1e-07	0.0
1682607194.04716	420	1e-07	0.0
1682607215.0818033	430	1e-07	0.0
1682607236.118359	440	9.899999999999999e-08	2.999999999999999e-09
1682607257.1554284	450	1e-07	0.0
1682607278.1913612	460	9.199999999999999e-08	3.999999999999999e-09
1682607299.2274709	470	9.899999999999999e-08	2.999999999999999e-09
1682607320.258021	480	9.599999999999999e-08	4.898979485566355e-09
1682607341.2927048	490	9.899999999999999e-08	2.999999999999999e-09
1682607362.327782	500	1e-07	0.0
1682607383.3584821	510	1e-07	0.0
1682607404.3900096	520	1e-07	0.0
1682607425.424575	530	1e-07	0.0
1682607446.4578447	540	1e-07	0.0
1682607467.492551	550	1e-07	0.0
1682607488.527001	560	1e-07	0.0
1682607509.563405	570	1e-07	0.0
1682607530.5980058	580	1e-07	0.0
1682607551.6289918	590	1e-07	0.0
1682607572.661327	600	1e-07	0.0
1682607593.690964	610	1e-07	0.0
1682607614.7218492	620	1e-07	0.0
1682607635.7555006	630	1e-07	0.0
1682607656.7852638	640	1e-07	0.0
1682607677.8172204	650	1e-07	0.0
1682607698.8521597	660	1e-07	0.0
1682607719.8858907	670	1e-07	0.0
1682607740.921262	680	1e-07	0.0
1682607761.9561982	690	9.899999999999999e-08	2.999999999999999e-09
1682607782.9847205	700	9e-08	0.0
1682607804.0179563	710	9e-08	0.0
1682607825.0512624	720	9e-08	0.0
1682607846.0827208	730	9e-08	0.0
1682607867.1161103	740	8e-08	0.0
1682607888.1499321	750	8e-08	0.0
1682607909.183073	760	8e-08	0.0
1682607930.217253	770	6.999999999999999e-08	1.3234889800848443e-23
1682607951.2474272	780	6.999999999999999e-08	1.3234889800848443e-23
1682607972.2812216	790	5.999999999999998e-08	1.3234889800848443e-23
1682607993.315072	800	5.999999999999998e-08	1.3234889800848443e-23
1682608014.3502204	810	5e-08	0.0
1682608035.3807726	820	4e-08	0.0
1682608056.4151802	830	4e-08	0.0
1682608077.447461	840	4e-08	0.0
1682608098.477357	850	2.999999999999999e-08	6.617444900424222e-24
1682608119.504328	860	2.999999999999999e-08	6.617444900424222e-24
1682608140.5384789	870	2.999999999999999e-08	6.617444900424222e-24
1682608161.571838	880	2.999999999999999e-08	6.617444900424222e-24
1682608182.5981116	890	2.999999999999999e-08	6.617444900424222e-24
1682608203.633951	900	2.999999999999999e-08	6.617444900424222e-24
1682608224.6619096	910	2.999999999999999e-08	6.617444900424222e-24
1682608245.695491	920	2.999999999999999e-08	6.617444900424222e-24
1682608266.7247245	930	2.999999999999999e-08	6.617444900424222e-24
1682608287.7579427	940	2.999999999999999e-08	6.617444900424222e-24
1682608308.7912507	950	2.999999999999999e-08	6.617444900424222e-24
1682608329.8219779	960	2.999999999999999e-08	6.617444900424222e-24
1682608350.8573198	970	2.999999999999999e-08	6.617444900424222e-24
1682608371.8902414	980	4e-08	0.0
1682608392.925951	990	4e-08	0.0
1682608413.9619365	1000	4e-08	0.0
1682608434.9911308	1010	4e-08	0.0
1682608456.0224285	1020	5e-08	0.0
1682608477.0555832	1030	5e-08	0.0
1682608498.091227	1040	5.999999999999998e-08	1.3234889800848443e-23
1682608519.121438	1050	5.999999999999998e-08	1.3234889800848443e-23
1682608540.154111	1060	6.999999999999999e-08	1.3234889800848443e-23
1682608561.1868546	1070	8e-08	0.0
1682608582.2184598	1080	9e-08	0.0
1682608603.251412	1090	1e-07	0.0
1682608624.286599	1100	1.1e-07	0.0
