# Time (s)	Meas (W)
1668683921.977488	2.86e-09
1668683922.0345352	2.85e-09
1668683922.1015425	2.84e-09
1668683922.1675634	2.83e-09
1668683922.2345428	2.82e-09
1668683922.3015306	2.82e-09
1668683922.3675165	2.81e-09
1668683922.4345367	2.81e-09
1668683922.5015538	2.81e-09
1668683922.5675082	2.81e-09
1668683922.6345475	2.81e-09
1668683922.7015467	2.81e-09
1668683922.7675066	2.8e-09
1668683922.8345318	2.8e-09
1668683922.9005466	2.8e-09
1668683922.9675138	2.8e-09
1668683923.0345402	2.8e-09
1668683923.1005452	2.8e-09
1668683923.167523	2.8e-09
1668683923.2345545	2.8e-09
1668683923.3005443	2.8e-09
1668683923.3675642	2.8e-09
1668683923.434528	2.8e-09
1668683923.500551	2.8e-09
1668683923.5675013	2.8e-09
1668683923.6345274	2.8e-09
1668683923.7005265	2.8e-09
1668683923.768045	2.8e-09
1668683923.8345513	2.8e-09
1668683923.9005625	2.8e-09
1668683923.9675457	2.8e-09
1668683924.0345395	2.8e-09
1668683924.100546	2.8e-09
1668683924.167456	2.8e-09
1668683924.2345345	2.8e-09
1668683924.3005342	2.8e-09
1668683924.367527	2.8e-09
1668683924.4335756	2.8e-09
1668683924.500586	2.8e-09
1668683924.567553	2.8e-09
1668683924.6335502	2.8e-09
1668683924.7005582	2.8e-09
1668683924.7675722	2.8e-09
1668683924.8335266	2.8e-09
1668683924.9005477	2.8e-09
1668683924.967537	2.8e-09
