#,Roboarm,2D,scan,with,the,following,settings:,,,,,
#,scan_size=0.3,,,,,,,,,,,
#,scan_step=0.05,,,,,,,,,,,
#,t=1.0,,,,,,,,,,,
#,nudge=0.05,,,,,,,,,,,
#,go_home=True,,,,,,,,,,,
#,get_data_home=False,,,,,,,,,,,
telapsed,xreal,yreal,zreal,x,y,z,col,row,power,err_power,power_home,err_power_home
1,-0.050538206824078,-0.300279727320367,0.139584103734564,-0.05,-0.3,0,0,0,5.80625E-10,6.05154E-13,0,0
1,-0.00055390429861,-0.300477588494988,0.139448236879219,-5.55E-17,-0.3,0,1,0,6.31875E-10,9.75781E-13,0,0
1,0.049411837345308,-0.30044669328535,0.139414385442612,0.05,-0.3,0,2,0,5.76250E-10,1.21031E-12,0,0
1,-0.150458117902377,-0.250247128586383,0.139806391816286,-0.15,-0.25,0,3,0,7.91875E-10,9.75781E-13,0,0
1,-0.100499084479824,-0.25032664944114,0.139633555564354,-0.1,-0.25,0,4,0,1.00813E-09,1.81546E-12,0,0
1,-0.050498933789993,-0.250337225290198,0.139608724513923,-0.05,-0.25,0,5,0,1.34067E-09,6.44061E-13,0,0
1,-0.000422711696356,-0.250463247232755,0.139456048486087,-5.55E-17,-0.25,0,6,0,1.33125E-09,8.26797E-13,0,0
1,0.04951491424101,-0.250514018425802,0.1394131507671,0.05,-0.25,0,7,0,1.19000E-09,0.00000E+00,0,0
1,0.099646503782932,-0.250575538346581,0.139346432817206,0.1,-0.25,0,8,0,8.57500E-10,1.87500E-12,0,0
1,0.149530663945397,-0.250674354368064,0.13925821184902,0.15,-0.25,0,9,0,5.62500E-10,1.08253E-12,0,0
1,-0.200474538510978,-0.200107301776809,0.139991879115413,-0.2,-0.2,0,10,0,1.05188E-09,9.75781E-13,0,0
1,-0.150464330076788,-0.200280065073696,0.139798754126084,-0.15,-0.2,0,11,0,1.49467E-09,1.59629E-12,0,0
1,-0.100391962164804,-0.20030789850792,0.139682702406499,-0.1,-0.2,0,12,0,2.06188E-09,9.75781E-13,0,0
1,-0.050386514050949,-0.200341536006523,0.13960815444703,-0.05,-0.2,0,0,1,2.51000E-09,0.00000E+00,0,0
1,-0.00038845375243,-0.200473628383912,0.139492962542288,-5.55E-17,-0.2,0,1,1,2.54250E-09,1.08253E-12,0,0
1,0.049540938866068,-0.200445812538599,0.13942965478222,0.05,-0.2,0,2,1,2.19000E-09,0.00000E+00,0,0
1,0.099688916056921,-0.20062669878949,0.139337370361716,0.1,-0.2,0,3,1,1.72000E-09,0.00000E+00,0,0
1,0.149553923448183,-0.200668951370768,0.139270114395992,0.15,-0.2,0,4,1,1.17313E-09,1.15878E-12,0,0
1,0.199512714301161,-0.200837425971857,0.139165936866024,0.2,-0.2,0,5,1,6.23750E-10,1.49870E-12,0,0
1,-0.250344100318985,-0.150171269483474,0.140099026887754,-0.25,-0.15,0,6,1,9.25625E-10,1.76085E-12,0,0
1,-0.200379439250204,-0.150102649506779,0.13999692171609,-0.2,-0.15,0,7,1,1.70063E-09,6.05154E-13,0,0
1,-0.150373000202398,-0.150199107176942,0.139819449258937,-0.15,-0.15,0,8,1,2.55375E-09,1.49870E-12,0,0
1,-0.100348182914779,-0.150358509976869,0.139666015101868,-0.1,-0.15,0,9,1,3.56000E-09,0.00000E+00,0,0
1,-0.050327094466938,-0.150444291166466,0.139612771366082,-0.05,-0.15,0,10,1,4.37875E-09,8.26797E-13,0,0
1,-0.000388795394839,-0.150413220654155,0.139578849336068,-5.55E-17,-0.15,0,11,1,4.27625E-09,1.49870E-12,0,0
1,0.049674688435694,-0.150487364946992,0.139432723961883,0.05,-0.15,0,12,1,3.59875E-09,8.26797E-13,0,0
1,0.099769289397034,-0.150561518637954,0.139341810833987,0.1,-0.15,0,0,2,2.72938E-09,6.05154E-13,0,0
1,0.149706089942884,-0.150700723827283,0.139255419516744,0.15,-0.15,0,1,2,1.99188E-09,9.75781E-13,0,0
1,0.199640484178683,-0.15082767813795,0.139157671745658,0.2,-0.15,0,2,2,1.13067E-09,6.44061E-13,0,0
1,0.249612559754787,-0.150858538664705,0.139056631121798,0.25,-0.15,0,3,2,5.71875E-10,9.75781E-13,0,0
1,-0.250338402767616,-0.100136981525941,0.140022600267061,-0.25,-0.1,0,4,2,1.38250E-09,1.08253E-12,0,0
1,-0.200298726762419,-0.100150546752421,0.139962595118926,-0.2,-0.1,0,5,2,2.40063E-09,6.05154E-13,0,0
1,-0.150283282752217,-0.100219534719794,0.139854287743125,-0.15,-0.1,0,6,2,3.67188E-09,9.75781E-13,0,0
1,-0.100276865671406,-0.100181908214485,0.139801791232372,-0.1,-0.1,0,7,2,5.27438E-09,2.15942E-12,0,0
1,-0.050295816295022,-0.100318755689136,0.139683316880912,-0.05,-0.1,0,8,2,6.51750E-09,4.28478E-12,0,0
