# Robotarm 2D scan with the following settings:
# scan_size=0.3, 
# scan_step=0.02, 
# n_meas=10.0, 
# nudge=0.0 
n_meas,xreal,yreal,zreal,x,y,z,col,row,power,err_power
10.0,-0.04037749057773764,-0.2999320659139314,0.13957516339704762,-0.03999999999999976,-0.3,0.0,0.0,0.0,8.810000000000001e-10,9.486832980505205e-13
10.0,-0.020022754307699633,-0.29996634916557297,0.13951719126341372,-0.01999999999999974,-0.3,0.0,1.0,0.0,8.7e-10,0.0
10.0,-7.533094624012637e-05,-0.29997347933026963,0.1395429583472344,2.7755575615628914e-16,-0.3,0.0,2.0,0.0,8.9e-10,0.0
10.0,0.02003365834070557,-0.3000491456869959,0.13957710168438436,0.020000000000000295,-0.3,0.0,3.0,0.0,8.9e-10,0.0
10.0,0.040009605263669965,-0.30000539225701695,0.13954770586360682,0.04000000000000031,-0.3,0.0,4.0,0.0,8.820000000000001e-10,1.2649110640673604e-12
10.0,-0.11999510268825304,-0.2798100363405718,0.13982523538597347,-0.11999999999999983,-0.27999999999999997,0.0,5.0,0.0,8.8e-10,0.0
10.0,-0.09996903554581328,-0.28011272553417094,0.13966665283797303,-0.09999999999999981,-0.27999999999999997,0.0,6.0,0.0,8.9e-10,0.0
10.0,-0.07997477659146594,-0.27994311365059493,0.13964341943326214,-0.0799999999999998,-0.27999999999999997,0.0,7.0,0.0,9.260000000000001e-10,1.5491933384829613e-12
10.0,-0.05999445000350089,-0.2800999444402027,0.1395525037408375,-0.059999999999999776,-0.27999999999999997,0.0,8.0,0.0,9.199999999999999e-10,3.269718465001044e-26
10.0,-0.040003047644864106,-0.28004204685304435,0.13954098305843315,-0.03999999999999976,-0.27999999999999997,0.0,9.0,0.0,9.330000000000002e-10,1.4491376746189536e-12
10.0,-0.0199917669383482,-0.2799971637748174,0.13950935760861094,-0.01999999999999974,-0.27999999999999997,0.0,10.0,0.0,9.300000000000001e-10,3.269718465001044e-26
10.0,-9.141935576051363e-06,-0.28000310459390193,0.13951351166758869,2.7755575615628914e-16,-0.27999999999999997,0.0,11.0,0.0,9.6e-10,0.0
10.0,0.01997908208292999,-0.2800475829247702,0.139534339896618,0.020000000000000295,-0.27999999999999997,0.0,12.0,0.0,9.310000000000002e-10,9.486832980505201e-13
10.0,0.04002166067772049,-0.27998226822685324,0.1395297066862347,0.04000000000000031,-0.27999999999999997,0.0,13.0,0.0,8.9e-10,0.0
10.0,0.06002747398679763,-0.2799878291399735,0.1395696696542259,0.06000000000000033,-0.27999999999999997,0.0,14.0,0.0,9.189999999999998e-10,9.486832980505201e-13
10.0,0.08002660942112359,-0.28012316436920626,0.13946361703580856,0.08000000000000035,-0.27999999999999997,0.0,15.0,0.0,8.730000000000001e-10,1.4491376746189388e-12
10.0,0.10001415900196965,-0.2799816398599868,0.13944347703442772,0.10000000000000037,-0.27999999999999997,0.0,16.0,0.0,8.34e-10,1.5491933384829613e-12
10.0,0.12000813772985476,-0.28009021100645837,0.13945267321503368,0.12000000000000038,-0.27999999999999997,0.0,17.0,0.0,8.3e-10,0.0
10.0,-0.13998532714332979,-0.25960940392307,0.13957357971488027,-0.13999999999999985,-0.25999999999999995,0.0,18.0,0.0,9.099999999999999e-10,3.269718465001044e-26
10.0,-0.11991082670053997,-0.26010711091881483,0.13948981682325756,-0.11999999999999983,-0.25999999999999995,0.0,19.0,0.0,9.099999999999999e-10,3.269718465001044e-26
10.0,-0.09999119301278235,-0.2600164552915521,0.1394490314562457,-0.09999999999999981,-0.25999999999999995,0.0,20.0,0.0,9.490000000000001e-10,9.486832980505104e-13
10.0,-0.08002022007401222,-0.2599769676255005,0.13951842900782135,-0.0799999999999998,-0.25999999999999995,0.0,21.0,0.0,9.4e-10,0.0
10.0,-0.05994120248269736,-0.26007617903085073,0.13946383823889597,-0.059999999999999776,-0.25999999999999995,0.0,22.0,0.0,9.850000000000002e-10,1.5811388300842168e-12
10.0,-0.0399640307399758,-0.26002215982302646,0.13947486982101914,-0.03999999999999976,-0.25999999999999995,0.0,23.0,0.0,1.021e-09,9.486832980505104e-13
10.0,-0.019941012570393823,-0.26003227034616894,0.13950655325887923,-0.01999999999999974,-0.25999999999999995,0.0,24.0,0.0,9.769999999999998e-10,1.4491376746189388e-12
10.0,-9.1856565551246e-05,-0.2600452797057552,0.13953310775293615,2.7755575615628914e-16,-0.25999999999999995,0.0,25.0,0.0,1.0000000000000003e-09,6.539436930002088e-26
10.0,0.020001042947963857,-0.2600562089386522,0.13958676378262974,0.020000000000000295,-0.25999999999999995,0.0,26.0,0.0,1.0000000000000003e-09,6.539436930002088e-26
10.0,0.04008506635878596,-0.26001922354331375,0.1395867803370101,0.04000000000000031,-0.25999999999999995,0.0,27.0,0.0,9.7e-10,0.0
10.0,0.059968819002031146,-0.2600052940928039,0.13962065650470146,0.06000000000000033,-0.25999999999999995,0.0,28.0,0.0,9.239999999999999e-10,1.5491933384829613e-12
10.0,0.07994948280287949,-0.26010845492173174,0.13959956744471969,0.08000000000000035,-0.25999999999999995,0.0,29.0,0.0,9.199999999999999e-10,3.269718465001044e-26
10.0,0.10005306952762826,-0.2600054102824715,0.13964897261016523,0.10000000000000037,-0.25999999999999995,0.0,30.0,0.0,9.199999999999999e-10,3.269718465001044e-26
10.0,0.12005606809834805,-0.2600680922655979,0.13966521583587221,0.12000000000000038,-0.25999999999999995,0.0,0.0,1.0,8.710000000000002e-10,9.486832980505104e-13
10.0,0.13991348779520135,-0.26003578387959425,0.1397009099184821,0.1400000000000004,-0.25999999999999995,0.0,1.0,1.0,8.89e-10,9.486832980505203e-13
10.0,-0.17994811696148236,-0.23925815509153586,0.13941256091628035,-0.17999999999999988,-0.23999999999999994,0.0,2.0,1.0,9e-10,0.0
10.0,-0.15993241545165982,-0.24003048536039956,0.13938700968121437,-0.15999999999999986,-0.23999999999999994,0.0,3.0,1.0,9.55e-10,1.581138830084184e-12
10.0,-0.14001504149216193,-0.24005969293685647,0.1393580662554072,-0.13999999999999985,-0.23999999999999994,0.0,4.0,1.0,9.5e-10,0.0
10.0,-0.11997311189991229,-0.2400424134667154,0.13935200222416833,-0.11999999999999983,-0.23999999999999994,0.0,5.0,1.0,9.880000000000003e-10,1.2649110640673733e-12
10.0,-0.09997274043522988,-0.2400457327451489,0.13929611022360394,-0.09999999999999981,-0.23999999999999994,0.0,6.0,1.0,9.890000000000002e-10,9.4868329805053e-13
10.0,-0.07998514115875448,-0.24011848041853961,0.13925511669686558,-0.0799999999999998,-0.23999999999999994,0.0,7.0,1.0,1.0000000000000003e-09,6.539436930002088e-26
10.0,-0.06004890437217859,-0.23998745625180384,0.1392760968876151,-0.059999999999999776,-0.23999999999999994,0.0,8.0,1.0,1.04e-09,0.0
10.0,-0.039975244200228396,-0.24002456637255803,0.13931495801591248,-0.03999999999999976,-0.23999999999999994,0.0,9.0,1.0,1.02e-09,0.0
10.0,-0.019986153826315592,-0.23998602197331542,0.13931575396578894,-0.01999999999999974,-0.23999999999999994,0.0,10.0,1.0,1.02e-09,0.0
10.0,2.8673921313768225e-05,-0.24004870871808026,0.13937341640948459,2.7755575615628914e-16,-0.23999999999999994,0.0,11.0,1.0,1.02e-09,0.0
10.0,0.019913457468971843,-0.24002116470648682,0.13943471015675007,0.020000000000000295,-0.23999999999999994,0.0,12.0,1.0,1.0479999999999999e-09,1.2649110640673733e-12
10.0,0.04003980553921853,-0.24001239836118937,0.1394735498513856,0.04000000000000031,-0.23999999999999994,0.0,13.0,1.0,1.0020000000000003e-09,1.2649110640673472e-12
10.0,0.05999662326727469,-0.24002035277758638,0.13950234948476536,0.06000000000000033,-0.23999999999999994,0.0,14.0,1.0,9.6e-10,0.0
10.0,0.07996093952423904,-0.24005848839452848,0.13955019431334154,0.08000000000000035,-0.23999999999999994,0.0,15.0,1.0,9.510000000000001e-10,9.486832980505106e-13
10.0,0.10008302059826495,-0.24011185662671752,0.1395746652730967,0.10000000000000037,-0.23999999999999994,0.0,16.0,1.0,9.430000000000002e-10,1.4491376746189388e-12
10.0,0.12006328120664676,-0.2400110846884113,0.13960630277888353,0.12000000000000038,-0.23999999999999994,0.0,17.0,1.0,9.269999999999998e-10,1.4491376746189388e-12
10.0,0.13997547553589246,-0.24005815261653607,0.13967497024335107,0.1400000000000004,-0.23999999999999994,0.0,18.0,1.0,9.109999999999999e-10,9.486832980505203e-13
10.0,0.1599469240692981,-0.24011234663463865,0.13966216431675882,0.16000000000000042,-0.23999999999999994,0.0,19.0,1.0,8.620000000000002e-10,1.2649110640673472e-12
10.0,0.18007488790221088,-0.24006482211969338,0.1397189078652878,0.18000000000000044,-0.23999999999999994,0.0,20.0,1.0,8.3e-10,0.0
10.0,-0.19999955146192058,-0.2188163794945448,0.13876870529305613,-0.1999999999999999,-0.21999999999999992,0.0,21.0,1.0,8.99e-10,2.2135943621178577e-12
10.0,-0.17993509704600327,-0.22025162293191802,0.13863541248416367,-0.17999999999999988,-0.21999999999999992,0.0,22.0,1.0,9.390000000000002e-10,9.486832980505201e-13
10.0,-0.15992389990115963,-0.22000242719010726,0.13873732968488633,-0.15999999999999986,-0.21999999999999992,0.0,23.0,1.0,9.5e-10,0.0
10.0,-0.13992292701385048,-0.2200172116801048,0.13871153661675895,-0.13999999999999985,-0.21999999999999992,0.0,24.0,1.0,9.789999999999998e-10,9.486832980505106e-13
10.0,-0.11997139573093453,-0.22013424381730973,0.1387568970886886,-0.11999999999999983,-0.21999999999999992,0.0,25.0,1.0,1.01e-09,0.0
10.0,-0.09999110547174475,-0.22007360166112372,0.1388322332363109,-0.09999999999999981,-0.21999999999999992,0.0,26.0,1.0,1.0499999999999999e-09,6.539436930002088e-26
10.0,-0.07999427966156278,-0.22002650538584378,0.1388748235801583,-0.0799999999999998,-0.21999999999999992,0.0,27.0,1.0,1.0700000000000002e-09,6.539436930002088e-26
10.0,-0.05996733911571507,-0.22010826124848099,0.13891264448377977,-0.059999999999999776,-0.21999999999999992,0.0,28.0,1.0,1.0700000000000002e-09,6.539436930002088e-26
10.0,-0.04007349626728822,-0.22001304280159595,0.13901648373062575,-0.03999999999999976,-0.21999999999999992,0.0,29.0,1.0,1.08e-09,0.0
10.0,-0.01995260085598359,-0.22003338465673783,0.1390436097802329,-0.01999999999999974,-0.21999999999999992,0.0,30.0,1.0,1.096e-09,1.5491933384829613e-12
10.0,-3.9967141862065625e-05,-0.22009315497654186,0.13909415887654303,2.7755575615628914e-16,-0.21999999999999992,0.0,0.0,2.0,1.0929999999999998e-09,1.4491376746189388e-12
10.0,0.019958983667712052,-0.22003083088085745,0.13920365885959896,0.020000000000000295,-0.21999999999999992,0.0,1.0,2.0,1.081e-09,9.486832980505106e-13
10.0,0.040033769552353896,-0.22003630253895734,0.13931662127120997,0.04000000000000031,-0.21999999999999992,0.0,2.0,2.0,1.052e-09,1.2649110640673472e-12
10.0,0.0599251183879793,-0.22010098230673775,0.13936617037611615,0.06000000000000033,-0.21999999999999992,0.0,3.0,2.0,1.04e-09,0.0
10.0,0.08004385910556912,-0.2200509332547485,0.1394173398859454,0.08000000000000035,-0.21999999999999992,0.0,4.0,2.0,9.629999999999999e-10,1.4491376746189388e-12
10.0,0.10001479420569821,-0.22005155424265743,0.13949780133556444,0.10000000000000037,-0.21999999999999992,0.0,5.0,2.0,9.900000000000003e-10,6.539436930002088e-26
10.0,0.1200260419676432,-0.22004969627689308,0.13957712721016363,0.12000000000000038,-0.21999999999999992,0.0,6.0,2.0,9.7e-10,0.0
10.0,0.1399432928233797,-0.22008590363646718,0.1396703604555098,0.1400000000000004,-0.21999999999999992,0.0,7.0,2.0,9.330000000000002e-10,1.4491376746189536e-12
10.0,0.16003045923842912,-0.22018363088512577,0.13967272499401584,0.16000000000000042,-0.21999999999999992,0.0,8.0,2.0,9.300000000000001e-10,3.269718465001044e-26
10.0,0.17992924484199085,-0.2200049500301186,0.1397278138793639,0.18000000000000044,-0.21999999999999992,0.0,9.0,2.0,9e-10,0.0
10.0,0.19999830752526154,-0.220064576243663,0.13976938336549627,0.20000000000000046,-0.21999999999999992,0.0,10.0,2.0,9e-10,0.0
10.0,-0.21994702470036284,-0.1986870819797592,0.13860410280825025,-0.21999999999999992,-0.1999999999999999,0.0,11.0,2.0,9.229999999999999e-10,1.4491376746189388e-12
10.0,-0.19994084482283328,-0.2000513566798685,0.13860700528904096,-0.1999999999999999,-0.1999999999999999,0.0,12.0,2.0,9.300000000000001e-10,3.269718465001044e-26
10.0,-0.17999853459345233,-0.20016590527806394,0.13853908053891512,-0.17999999999999988,-0.1999999999999999,0.0,13.0,2.0,9.679999999999998e-10,1.2649110640673472e-12
10.0,-0.15995919190010827,-0.19999959351957985,0.13865381160339296,-0.15999999999999986,-0.1999999999999999,0.0,14.0,2.0,1.0329999999999998e-09,1.4491376746189388e-12
10.0,-0.1400177003348585,-0.20008185894715041,0.13867240076450765,-0.13999999999999985,-0.1999999999999999,0.0,15.0,2.0,1.0670000000000001e-09,1.4491376746189388e-12
10.0,-0.11994712695487914,-0.20012820725974484,0.1386889488408079,-0.11999999999999983,-0.1999999999999999,0.0,16.0,2.0,1.08e-09,0.0
10.0,-0.09996760424330113,-0.20009695375904774,0.13870185331996404,-0.09999999999999981,-0.1999999999999999,0.0,17.0,2.0,1.08e-09,0.0
10.0,-0.07999291817720147,-0.2000094908975184,0.13876508208944405,-0.0799999999999998,-0.1999999999999999,0.0,18.0,2.0,1.124e-09,2.097617696340296e-12
10.0,-0.06001057489399821,-0.20005333949647075,0.1388128366859866,-0.059999999999999776,-0.1999999999999999,0.0,19.0,2.0,1.1199999999999999e-09,6.539436930002088e-26
10.0,-0.03997503483375946,-0.2001064106253408,0.13887022442352887,-0.03999999999999976,-0.1999999999999999,0.0,20.0,2.0,1.0940000000000002e-09,1.5491933384829613e-12
