# Robotarm 2D scan with the following settings:
# scan_size=0.1, 
# scan_step=0.005, 
# n_meas=10.0, 
# nudge=0.0 
time,n_meas,xreal,yreal,zreal,x,y,z,col,row,power,err_power
1669135719.9755907,10.0,-0.1001684155492013,-0.09966104026478995,0.1398533013649687,-0.1,-0.1,0.0,0.0,0.0,1e-09,3.1622776601683795e-10
1669135721.3074439,10.0,-0.09506783846747804,-0.10015637521074416,0.139740464166703,-0.095,-0.1,0.0,1.0,0.0,0.0,0.0
1669135722.5740936,10.0,-0.09004626708852208,-0.09996540652461855,0.13973754458040966,-0.09,-0.1,0.0,2.0,0.0,6e-12,1.5491933384829667e-12
1669135723.9075732,10.0,-0.08498199926511019,-0.09994076437150079,0.139753596497311,-0.08499999999999999,-0.1,0.0,3.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135725.2400346,10.0,-0.0799138253420429,-0.10007245951839494,0.1396955488427561,-0.07999999999999999,-0.1,0.0,4.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135726.6398203,10.0,-0.07508864961285386,-0.10003382009053097,0.13963826432770887,-0.07499999999999998,-0.1,0.0,5.0,0.0,1.9000000000000002e-11,9.486832980505137e-13
1669135727.9061856,10.0,-0.06996989114343415,-0.09996792856174391,0.1396137645715252,-0.06999999999999998,-0.1,0.0,6.0,0.0,2.0000000000000002e-11,1.0217870203128262e-27
1669135729.306812,10.0,-0.06505294812515704,-0.09994361469739005,0.13962345737588822,-0.06499999999999997,-0.1,0.0,7.0,0.0,2.3e-11,1.4491376746189439e-12
1669135730.7733686,10.0,-0.06002406433775392,-0.10001488838089995,0.13961619960200644,-0.05999999999999997,-0.1,0.0,8.0,0.0,3e-11,0.0
1669135732.1721487,10.0,-0.054920924069999884,-0.1000023464645522,0.13957122902912833,-0.054999999999999966,-0.1,0.0,9.0,0.0,4.8e-11,1.264911064067352e-12
1669135733.5063977,10.0,-0.04998965706830673,-0.09999492940573618,0.1395065481932652,-0.04999999999999996,-0.1,0.0,10.0,0.0,6e-11,0.0
1669135734.9046993,10.0,-0.04510857484341517,-0.10005696323970004,0.1394830551236534,-0.04499999999999996,-0.1,0.0,11.0,0.0,6.6e-11,1.5491933384829673e-12
1669135736.2379396,10.0,-0.0399664656109837,-0.09992754431364109,0.1394683795270114,-0.03999999999999995,-0.1,0.0,12.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135737.5043166,10.0,-0.034934735066586356,-0.09998941177922244,0.13943031944214862,-0.03499999999999995,-0.1,0.0,13.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135738.8381596,10.0,-0.029963584877136615,-0.09998657092376517,0.13942565631240544,-0.029999999999999943,-0.1,0.0,14.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135740.1036155,10.0,-0.02513036592338405,-0.10000478377497135,0.139390900216538,-0.02499999999999994,-0.1,0.0,15.0,0.0,6e-11,0.0
1669135741.4367654,10.0,-0.019989385556749048,-0.10006381263019032,0.13935850706820202,-0.019999999999999934,-0.1,0.0,16.0,0.0,6e-11,0.0
1669135742.7698832,10.0,-0.014900248161711219,-0.0999723581011952,0.13934655562283482,-0.01499999999999993,-0.1,0.0,17.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135744.1036253,10.0,-0.009964957361483978,-0.10006361799478886,0.1392920765553618,-0.009999999999999926,-0.1,0.0,18.0,0.0,6.9e-11,9.486832980505143e-13
1669135745.3691432,10.0,-0.005169124613050982,-0.09997469259322456,0.1392989058284232,-0.004999999999999921,-0.1,0.0,19.0,0.0,6e-11,0.0
1669135746.7023654,10.0,2.258695257016663e-05,-0.09997242316792071,0.13928959196052249,8.326672684688674e-17,-0.1,0.0,20.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135748.0354722,10.0,0.005100315393003124,-0.10007321126147767,0.13928421845015287,0.005000000000000088,-0.1,0.0,21.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135749.4359398,10.0,0.010012255696939948,-0.09997828041705248,0.1392798591895522,0.010000000000000092,-0.1,0.0,22.0,0.0,8.000000000000001e-11,4.087148081251305e-27
1669135750.7705815,10.0,0.014860337835904833,-0.10001689892921983,0.13924576851364495,0.015000000000000097,-0.1,0.0,23.0,0.0,7.2e-11,1.2649110640673507e-12
1669135752.1012776,10.0,0.020011497195028746,-0.10004641631014183,0.13924895528615006,0.0200000000000001,-0.1,0.0,24.0,0.0,6.999999999999999e-11,4.087148081251305e-27
1669135753.501691,10.0,0.024993748639227722,-0.09998799798019753,0.13926129769612128,0.025000000000000105,-0.1,0.0,25.0,0.0,6e-11,0.0
1669135755.0339022,10.0,0.029974293331115467,-0.10002002118763698,0.13925995466914154,0.03000000000000011,-0.1,0.0,26.0,0.0,5e-11,0.0
1669135756.4336402,10.0,0.03496564405800971,-0.09996637316656148,0.13926069741389047,0.035000000000000114,-0.1,0.0,27.0,0.0,5e-11,0.0
1669135757.8334033,10.0,0.040004002897902805,-0.10003916969660864,0.13924785696215908,0.04000000000000012,-0.1,0.0,28.0,0.0,5e-11,0.0
1669135759.167117,10.0,0.04502727763724694,-0.09998882804465686,0.13924513738683714,0.04500000000000012,-0.1,0.0,29.0,0.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135760.9020178,10.0,0.04988106670694008,-0.10006318757787336,0.139197692364478,0.05000000000000013,-0.1,0.0,30.0,0.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135762.2325773,10.0,0.055075784660200536,-0.1000905037659161,0.13915547529814914,0.05500000000000013,-0.1,0.0,31.0,0.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135763.5660765,10.0,0.06003198890671725,-0.09997710087732398,0.13916024330318055,0.06000000000000014,-0.1,0.0,32.0,0.0,3e-11,0.0
1669135764.8984423,10.0,0.06492518922491937,-0.1000113844444569,0.13918155984045366,0.06500000000000014,-0.1,0.0,33.0,0.0,3e-11,0.0
1669135766.2316206,10.0,0.07006215660354988,-0.09998214947819539,0.13919299664716722,0.07000000000000015,-0.1,0.0,34.0,0.0,2.0000000000000002e-11,1.0217870203128262e-27
1669135767.5646524,10.0,0.07504327600352838,-0.10007283117637372,0.13916929022944013,0.07500000000000015,-0.1,0.0,35.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135768.9642787,10.0,0.07994786596702798,-0.09991962815177557,0.13913690832422088,0.08000000000000015,-0.1,0.0,36.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135770.2974253,10.0,0.08504749097363128,-0.10002775961306476,0.13914916462630467,0.08500000000000016,-0.1,0.0,37.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135771.6972063,10.0,0.09002813083627052,-0.10001509222373167,0.13914027031992915,0.09000000000000016,-0.1,0.0,38.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135772.9635844,10.0,0.09492448180639522,-0.10010262859449653,0.13910358384689803,0.09500000000000017,-0.1,0.0,39.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135774.3632367,10.0,0.10011392202583023,-0.09998187198384206,0.13906935400111642,0.10000000000000017,-0.1,0.0,40.0,0.0,1.0000000000000001e-11,5.108935101564131e-28
1669135777.1649134,10.0,-0.09998165421374566,-0.0945962582424773,0.1397908538971926,-0.1,-0.095,0.0,0.0,1.0,6e-12,1.5491933384829667e-12
1669135778.4290173,10.0,-0.09506464783355509,-0.09502569656261306,0.1397093189067075,-0.095,-0.095,0.0,1.0,1.0,0.0,0.0
1669135779.7622347,10.0,-0.0899732903578656,-0.09505015987262849,0.1396710398781701,-0.09,-0.095,0.0,2.0,1.0,9e-12,9.486832980505137e-13
1669135781.095201,10.0,-0.08507183390648244,-0.09502497949582417,0.13962644100666322,-0.08499999999999999,-0.095,0.0,3.0,1.0,1.0000000000000001e-11,5.108935101564131e-28
1669135782.3615003,10.0,-0.0799748428121661,-0.09491813992038295,0.13962497737510438,-0.07999999999999999,-0.095,0.0,4.0,1.0,1.2e-11,1.2649110640673515e-12
1669135783.6956663,10.0,-0.07498218982721068,-0.09499697087960207,0.13957367504529333,-0.07499999999999998,-0.095,0.0,5.0,1.0,2.0000000000000002e-11,1.0217870203128262e-27
1669135785.0276825,10.0,-0.06995152155577278,-0.09506010656859082,0.13951252268832082,-0.06999999999999998,-0.095,0.0,6.0,1.0,3e-11,0.0
1669135786.294217,10.0,-0.06507308416732385,-0.09505165160887058,0.1394568450812516,-0.06499999999999997,-0.095,0.0,7.0,1.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135787.6271362,10.0,-0.06006441726719164,-0.09493424683262164,0.13944769131069062,-0.05999999999999997,-0.095,0.0,8.0,1.0,5.9e-11,9.486832980505135e-13
1669135788.9604833,10.0,-0.054848093356135434,-0.0949512577076771,0.13942597770472842,-0.054999999999999966,-0.095,0.0,9.0,1.0,6.999999999999999e-11,4.087148081251305e-27
1669135790.4271894,10.0,-0.04996086487722466,-0.09500030701687384,0.1393979955178506,-0.04999999999999996,-0.095,0.0,10.0,1.0,6.999999999999999e-11,4.087148081251305e-27
1669135791.8262541,10.0,-0.04510836218675475,-0.09499525953550358,0.1393764734691399,-0.04499999999999996,-0.095,0.0,11.0,1.0,6.8e-11,1.264911064067352e-12
1669135793.226093,10.0,-0.040005556953286905,-0.09501158099192664,0.1393216299757828,-0.03999999999999995,-0.095,0.0,12.0,1.0,6.999999999999999e-11,4.087148081251305e-27
1669135794.6256669,10.0,-0.03484413089810175,-0.09505147956883236,0.13927929441237552,-0.03499999999999995,-0.095,0.0,13.0,1.0,7.600000000000001e-11,1.5491933384829653e-12
1669135795.8920648,10.0,-0.029985816216194255,-0.09496000777510888,0.1392641688761453,-0.029999999999999943,-0.095,0.0,14.0,1.0,8.000000000000001e-11,4.087148081251305e-27
1669135797.2251995,10.0,-0.025145820959093512,-0.09500503287664352,0.1392413398624538,-0.02499999999999994,-0.095,0.0,15.0,1.0,8.000000000000001e-11,4.087148081251305e-27
1669135798.559323,10.0,-0.020019087973667554,-0.09503697671928929,0.13918249290991025,-0.019999999999999934,-0.095,0.0,16.0,1.0,8.000000000000001e-11,4.087148081251305e-27
1669135799.9588008,10.0,-0.014830617344592664,-0.09504887833667769,0.13912697591662182,-0.01499999999999993,-0.095,0.0,17.0,1.0,9e-11,0.0
1669135801.2910259,10.0,-0.010058326247968055,-0.0950042185124485,0.1391183167460489,-0.009999999999999926,-0.095,0.0,18.0,1.0,9e-11,0.0
1669135802.5574956,10.0,-0.005048341310431137,-0.09502956425491738,0.1390788959033914,-0.004999999999999921,-0.095,0.0,19.0,1.0,8.8e-11,1.2649110640673525e-12
1669135803.9571006,10.0,-0.00011271695510940705,-0.09502249350606473,0.13907411090987232,8.326672684688674e-17,-0.095,0.0,20.0,1.0,9e-11,0.0
1669135805.356827,10.0,0.0051100395882975325,-0.09503479923235397,0.1390558406779942,0.005000000000000088,-0.095,0.0,21.0,1.0,9e-11,0.0
1669135806.7564726,10.0,0.010027202496262932,-0.09501998295594871,0.13903838148975511,0.010000000000000092,-0.095,0.0,22.0,1.0,9e-11,0.0
1669135808.0228596,10.0,0.014917485630901742,-0.09502196479611846,0.13902916498706575,0.015000000000000097,-0.095,0.0,23.0,1.0,9e-11,0.0
1669135809.4913933,10.0,0.01992921913371727,-0.09501640293246905,0.1390051894622359,0.0200000000000001,-0.095,0.0,24.0,1.0,9e-11,0.0
1669135810.7556665,10.0,0.02511163243872934,-0.09502529064002235,0.13900359809624785,0.025000000000000105,-0.095,0.0,25.0,1.0,8.000000000000001e-11,4.087148081251305e-27
1669135812.0886912,10.0,0.030017299740430922,-0.09499440587292557,0.1389959363498246,0.03000000000000011,-0.095,0.0,26.0,1.0,6.999999999999999e-11,4.087148081251305e-27
1669135813.4217355,10.0,0.03493434697926219,-0.09500873712452407,0.13900745305883067,0.035000000000000114,-0.095,0.0,27.0,1.0,6e-11,0.0
1669135814.688106,10.0,0.03999945137844062,-0.09503846548490308,0.13898812847826852,0.04000000000000012,-0.095,0.0,28.0,1.0,6e-11,0.0
1669135816.0212896,10.0,0.04497527723263821,-0.09497891089503535,0.13898779071705664,0.04500000000000012,-0.095,0.0,29.0,1.0,6e-11,0.0
1669135817.3543491,10.0,0.04991973248411173,-0.09508240163221182,0.13894940874296702,0.05000000000000013,-0.095,0.0,30.0,1.0,5e-11,0.0
1669135818.621766,10.0,0.05499461176636987,-0.0949010207192369,0.13898175148063363,0.05500000000000013,-0.095,0.0,31.0,1.0,5e-11,0.0
1669135820.1544113,10.0,0.06014604422431015,-0.09501870373584065,0.13895338577079486,0.06000000000000014,-0.095,0.0,32.0,1.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135821.4866629,10.0,0.06495119215352806,-0.09497561836105217,0.13895102034730406,0.06500000000000014,-0.095,0.0,33.0,1.0,4.0000000000000004e-11,2.0435740406256525e-27
1669135822.8198273,10.0,0.07009660460429838,-0.09506620914207864,0.13890646584250282,0.07000000000000015,-0.095,0.0,34.0,1.0,3e-11,0.0
1669135824.1527987,10.0,0.0750498921768467,-0.09499784514321785,0.13889641941418607,0.07500000000000015,-0.095,0.0,35.0,1.0,2.5e-11,1.5811388300841897e-12
1669135825.5526476,10.0,0.07989948139172441,-0.0949686299958728,0.13889443942299307,0.08000000000000015,-0.095,0.0,36.0,1.0,2.0000000000000002e-11,1.0217870203128262e-27
1669135826.8190167,10.0,0.08505152561640779,-0.09503709208434807,0.13891676227049687,0.08500000000000016,-0.095,0.0,37.0,1.0,1.0000000000000001e-11,5.108935101564131e-28
1669135828.151877,10.0,0.09000131206213578,-0.09507395922748918,0.13884463346909504,0.09000000000000016,-0.095,0.0,38.0,1.0,1.0000000000000001e-11,5.108935101564131e-28
1669135829.552569,10.0,0.0949498679872839,-0.09504187578035483,0.13885633835666433,0.09500000000000017,-0.095,0.0,39.0,1.0,1.0000000000000001e-11,5.108935101564131e-28
1669135830.8848107,10.0,0.10004572780496444,-0.0949955116603558,0.13885269161026637,0.10000000000000017,-0.095,0.0,40.0,1.0,1.0000000000000001e-11,5.108935101564131e-28
1669135833.6185908,10.0,-0.10002829914573748,-0.08949706601663265,0.1396629373339579,-0.1,-0.09,0.0,0.0,2.0,8e-12,1.2649110640673515e-12
1669135835.017165,10.0,-0.09491050824703766,-0.08997528270500549,0.1395167748050653,-0.095,-0.09,0.0,1.0,2.0,0.0,0.0
1669135836.350316,10.0,-0.08997427507417283,-0.08993962799027089,0.1395677621574391,-0.09,-0.09,0.0,2.0,2.0,1.0000000000000001e-11,5.108935101564131e-28
1669135837.6834433,10.0,-0.08504248518363629,-0.09002699911158712,0.1394791228342916,-0.08499999999999999,-0.09,0.0,3.0,2.0,2.0000000000000002e-11,1.0217870203128262e-27
1669135839.0164533,10.0,-0.07998179542880572,-0.08999663870175317,0.13945452655876012,-0.07999999999999999,-0.09,0.0,4.0,2.0,2.8999999999999997e-11,9.486832980505139e-13
1669135840.416237,10.0,-0.07501670219721525,-0.08999433492301723,0.1393776826013336,-0.07499999999999998,-0.09,0.0,5.0,2.0,3e-11,0.0
1669135841.8181274,10.0,-0.06998214423440112,-0.08989146890652372,0.13946844824031335,-0.06999999999999998,-0.09,0.0,6.0,2.0,5e-11,0.0
1669135843.0821586,10.0,-0.06507212595016046,-0.09001972225939653,0.13942909114347263,-0.06499999999999997,-0.09,0.0,7.0,2.0,6e-11,0.0
1669135844.5485685,10.0,-0.06001709438367332,-0.0900109444297934,0.1393675359017093,-0.05999999999999997,-0.09,0.0,8.0,2.0,6.999999999999999e-11,4.087148081251305e-27
1669135845.8149583,10.0,-0.05486132987870523,-0.09006627373807036,0.139295177878772,-0.054999999999999966,-0.09,0.0,9.0,2.0,6.999999999999999e-11,4.087148081251305e-27
1669135847.1479821,10.0,-0.049927175675940474,-0.089969486124657,0.13924234183766765,-0.04999999999999996,-0.09,0.0,10.0,2.0,8.000000000000001e-11,4.087148081251305e-27
1669135848.4144115,10.0,-0.04510964299490823,-0.08999993905459819,0.1392042690368488,-0.04499999999999996,-0.09,0.0,11.0,2.0,7.1e-11,9.486832980505128e-13
1669135850.0149858,10.0,-0.04002524797635598,-0.08999199698764371,0.1391519638320965,-0.03999999999999995,-0.09,0.0,12.0,2.0,8.000000000000001e-11,4.087148081251305e-27
1669135851.3471608,10.0,-0.034850324957716006,-0.09005870584694609,0.13912343271797384,-0.03499999999999995,-0.09,0.0,13.0,2.0,9e-11,0.0
1669135852.6802745,10.0,-0.029958363264183704,-0.08998957573781641,0.13906600505633493,-0.029999999999999943,-0.09,0.0,14.0,2.0,9.9e-11,9.48683298050514e-13
1669135854.0799592,10.0,-0.025140658838668936,-0.09001098520096962,0.1390492701594142,-0.02499999999999994,-0.09,0.0,15.0,2.0,1e-10,0.0
1669135855.4796228,10.0,-0.020009837221262317,-0.09000529922401762,0.13900657182403486,-0.019999999999999934,-0.09,0.0,16.0,2.0,1e-10,0.0
1669135856.8127294,10.0,-0.014852859668159302,-0.09001963689350784,0.13898205259067808,-0.01499999999999993,-0.09,0.0,17.0,2.0,1.09e-10,9.486832980505128e-13
1669135858.145665,10.0,-0.010004318193804193,-0.09002482123039851,0.13896067158535924,-0.009999999999999926,-0.09,0.0,18.0,2.0,1.1e-10,0.0
1669135859.5460975,10.0,-0.005114124170672196,-0.08999377475489773,0.1389337479758413,-0.004999999999999921,-0.09,0.0,19.0,2.0,1.1e-10,0.0
1669135860.8785262,10.0,-7.102849604950778e-05,-0.09000593306520349,0.13893247776173384,8.326672684688674e-17,-0.09,0.0,20.0,2.0,1e-10,0.0
1669135862.2116873,10.0,0.005159864184724888,-0.09004082661176588,0.13891774876009494,0.005000000000000088,-0.09,0.0,21.0,2.0,1.1e-10,0.0
1669135863.4779346,10.0,0.009958791082284216,-0.08998535937717328,0.13889720225296148,0.010000000000000092,-0.09,0.0,22.0,2.0,1.1e-10,0.0
1669135864.8119082,10.0,0.014925719482107927,-0.09004134829237725,0.13885416845734172,0.015000000000000097,-0.09,0.0,23.0,2.0,1e-10,0.0
1669135866.1463823,10.0,0.019924562833575257,-0.09001512590204791,0.1388424084614212,0.0200000000000001,-0.09,0.0,24.0,2.0,1e-10,0.0
1669135867.4104974,10.0,0.02510802267880237,-0.0900107410164731,0.13882849806542352,0.025000000000000105,-0.09,0.0,25.0,2.0,1e-10,0.0
1669135868.743861,10.0,0.030033007373612017,-0.09006113662669807,0.13880311323544559,0.03000000000000011,-0.09,0.0,26.0,2.0,9e-11,0.0
1669135870.0765986,10.0,0.03491523364713893,-0.08999172514667542,0.1387969161304587,0.035000000000000114,-0.09,0.0,27.0,2.0,8.1e-11,9.48683298050514e-13
1669135871.3430455,10.0,0.04002206822087244,-0.09003625584713021,0.13874802506035455,0.04000000000000012,-0.09,0.0,28.0,2.0,7.299999999999999e-11,1.4491376746189425e-12
1669135872.6762133,10.0,0.04500289556999916,-0.08999968505715072,0.13877163105229257,0.04500000000000012,-0.09,0.0,29.0,2.0,7.2e-11,1.2649110640673507e-12
1669135874.0091317,10.0,0.049856462434803614,-0.08999240988329621,0.13877921966341678,0.05000000000000013,-0.09,0.0,30.0,2.0,6.999999999999999e-11,4.087148081251305e-27
